celeb_id,name,occupation
1,任正非,Entrepreneur
2,何炅,Host/Media
3,余华,Scholar/Writer
4,全红婵,Athlete
5,刘亦菲,Actor/Actress/Model
6,刘强东,Entrepreneur
7,刘翔,Athlete
8,华春莹,Politician/Official
9,周迅,Actor/Actress/Model
10,奚梦瑶,Actor/Actress/Model
11,姚明,Athlete
12,孙俪,Actor/Actress/Model
13,孙杨,Athlete
14,孙燕姿,Musician
15,孙颖莎,Athlete
16,宋茜,Musician
17,屠呦呦,Scholar/Writer
18,张怡宁,Athlete
19,成龙,Actor/Actress/Model
20,撒贝宁,Host/Media
21,易烊千玺,Actor/Actress/Model
22,杨幂,Actor/Actress/Model
23,杨紫,Actor/Actress/Model
24,杨颖,Actor/Actress/Model
25,林更新,Actor/Actress/Model
26,王一博,Actor/Actress/Model
27,王菲,Musician
28,罗翔,Scholar/Writer
29,苏炳添,Athlete
30,范冰冰,Actor/Actress/Model
31,莫言,Scholar/Writer
32,董卿,Host/Media
33,董明珠,Entrepreneur
34,贾玲,Actor/Actress/Model
35,赵丽颖,Actor/Actress/Model
36,迪丽热巴,Actor/Actress/Model
37,邓超,Actor/Actress/Model
38,那英,Musician
39,郎朗,Musician
40,郭晶晶,Athlete
41,金星,Host/Media
42,钟南山,Scholar/Writer
43,陈奕迅,Musician
44,雷军,Entrepreneur
45,韩红,Musician
46,马云,Entrepreneur
47,马龙,Athlete
48,魏大勋,Actor/Actress/Model
49,鹿晗,Musician
50,黄晓明,Actor/Actress/Model
