celeb_id,name,race
1,Bre Scullark,Black
2,Carey Hart,White
3,Zac Efron,White
4,Christian Oliver,White
5,Conan O'Brien,White
6,Curtis Jackson,Black
7,Dana Delany,White
8,Dean Geyer,Black
9,Diego Boneta,White
10,Dwayne Wade,Black
11,Eduardo Noriega,White
12,Gabriel Soto,White
13,Betty White,White
14,George Burns,White
15,James Harden,Black
16,Hugh Jackman,White
17,Isla Fisher,White
18,Marilyn Monroe,White
19,John Krasinski,White
20,John Slattery,White
21,Jon Huntsman,White
22,Katherine Bailess,White
23,Keith Lieberthal,White
24,Kevin Hart,Black
25,Kris Allen,White
26,Logan Marshall-Green,White
27,Lonneke Engel,White
28,Adam Levine,White
29,Mario Lopez,White
30,Michelle Obama,Black
31,Missi Pyle,White
32,Naomi Harris,Black
33,Natalie Zea,White
34,Nathalia Dill,White
35,Olivia Palermo,White
36,Pat Boone,White
37,Rachel McAdams,White
38,Richard Marx,White
39,Rodrigo Diaz,White
40,Roger Taylor,White
41,Ron Perlman,White
42,Sam Claflin,White
43,Samantha Mumba,Black
44,Shawn Ashmore,White
45,Andrea Navedo,White
46,Steven Soderbergh,White
47,Tim Gunn,White
48,Treat Williams,White
49,Bahar Soomekh,White
50,Wentworth Miller,Biracial
